seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif
chr10,RepeatMasker,dispersed_repeat,150358541,150358584,4.5,+,.,ID=435806;Target,RIL_naefe_AC212820_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150387588,150388911,13.5,-,.,ID=435867;Target,RIX_ekeje_AC197537_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150388910,150389005,21.1,-,.,ID=435868;Target,RIX_ekeje_AC197537_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150389008,150389039,21.7,+,.,ID=435869;Target,(A)n
chr10,RepeatMasker,dispersed_repeat,150389178,150389755,33.8,-,.,ID=435870;Target,RIL_pyelum_AC203928_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150389369,150389545,25.4,-,.,ID=435871;Target,RIL_nugimu_AC203843_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150389733,150390182,33.3,-,.,ID=435872;Target,RIX_leijoh_AC212369_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150389856,150390278,33.2,-,.,ID=435873;Target,RIL_etiti_AC211734_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150389985,150390280,31.2,-,.,ID=435874;Target,RIX_edaej_AC215611_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150390296,150390627,6,-,.,ID=435875;Target,RIL_koajav_AC205853_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150390741,150390764,4.7,+,.,ID=435876;Target,(CAG)n
chr10,RepeatMasker,dispersed_repeat,150390812,150390889,14.6,+,.,ID=435877;Target,(CAG)n
chr10,RepeatMasker,dispersed_repeat,150390815,150390900,21.1,+,.,ID=435878;Target,(AGCAGGC)n
chr10,RepeatMasker,dispersed_repeat,150391478,150391726,18.6,-,.,ID=435879;Target,ebel_AC195143_4427_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150391519,150391726,14.6,-,.,ID=435880;Target,kameer_AC194009_3819_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150391723,150392019,25.4,+,.,ID=435881;Target,ebel_AC195143_4427_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150392027,150393116,23.5,+,.,ID=435882;Target,ebel_AC210216_10670_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150393120,150393600,28.5,+,.,ID=435883;Target,ebel_AC188777_2128_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150393120,150393549,26.2,+,.,ID=435884;Target,kameer_AC194009_3819_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150393120,150393348,20.5,+,.,ID=435885;Target,ebel_AC213044_12072_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150393546,150393795,22.3,+,.,ID=435886;Target,ebel_AC195143_4427_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150393587,150393795,19.1,+,.,ID=435887;Target,kameer_AC194009_3819_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150393588,150393824,23.4,+,.,ID=435888;Target,ajipe_AC183372_580_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150393871,150395812,26.5,+,.,ID=435889;Target,ebel_AC188777_2128_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150394926,150397086,28.9,+,.,ID=435890;Target,totu_AC194464_4142_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150395768,150397084,19.3,+,.,ID=435891;Target,ajipe_AC183372_580_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150397081,150397438,14.4,+,.,ID=435892;Target,ajipe_AC183372_580_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150397429,150397592,24.1,+,.,ID=435893;Target,ajipe_AC183372_580_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150398115,150398314,20.3,-,.,ID=435894;Target,DTA_ZM00309_consensus_MITE_DTA
chr10,RepeatMasker,dispersed_repeat,150398115,150398284,19.6,+,.,ID=435895;Target,DTA_ZM00233_consensus_DNA_DTA
chr10,RepeatMasker,dispersed_repeat,150398232,150398475,21.4,+,.,ID=435896;Target,DTA_ZM00233_consensus_DNA_DTA
chr10,RepeatMasker,dispersed_repeat,150398501,150399683,34.7,+,.,ID=435897;Target,RIL_koajav_AC205853_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150399677,150399718,14.3,+,.,ID=435898;Target,RIL_pyelum_AC203928_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150399683,150399718,11.1,+,.,ID=435899;Target,RIX_edaej_AC215611_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150400052,150400123,25,-,.,ID=435900;Target,DTA_ZM00309_consensus_MITE_DTA
chr10,RepeatMasker,dispersed_repeat,150400128,150400855,11.7,+,.,ID=435901;Target,feki_AC195127_4412_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150400827,150402725,9.9,-,.,ID=435902;Target,homy_AC197914_5822_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150402752,150405383,13.6,-,.,ID=435903;Target,homy_AC197914_5822_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150405409,150405677,4.8,-,.,ID=435904;Target,hesa_AC204349_8207_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150405774,150406366,31.4,-,.,ID=435905;Target,RIL_etiti_AC211734_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150405909,150406410,32.4,-,.,ID=435906;Target,RIL_jikeuf_AC211152_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150406112,150406533,37.4,-,.,ID=435907;Target,RIX_ekeje_AC197537_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150406559,150406968,30,+,.,ID=435908;Target,RIL_jikeuf_AC211152_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150407067,150407187,21.1,+,.,ID=435909;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150407123,150407187,21.9,+,.,ID=435910;Target,RIL_etiti_AC211734_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150407690,150407723,12.8,+,.,ID=435911;Target,(ATTTAAA)n
chr10,RepeatMasker,dispersed_repeat,150407850,150408167,13.6,-,.,ID=435912;Target,DTH_ZM00202_consensus_MITE_DTH
chr10,RepeatMasker,dispersed_repeat,150408142,150408234,22.8,-,.,ID=435913;Target,tisy_AC193518_123_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150408168,150408233,4.6,-,.,ID=435914;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150408243,150408764,17.5,-,.,ID=435915;Target,dugiab_AC207724_9683_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150409761,150410903,19.5,+,.,ID=435916;Target,prem1_AC200105_6751_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150409886,150412078,18.1,+,.,ID=435917;Target,prem1_AC206253_9147_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150412017,150412847,18.5,-,.,ID=435918;Target,odoj_AC194387_4072_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150412773,150412867,16.8,+,.,ID=435919;Target,prem1_AC206253_9147_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150412826,150413352,17.5,-,.,ID=435920;Target,dugiab_AC207724_9683_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150414344,150414802,26.8,-,.,ID=435921;Target,dugiab_AC207724_9683_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150414398,150416204,19.3,+,.,ID=435922;Target,prem1_AC196065_4927_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150416197,150416368,16.9,+,.,ID=435923;Target,ebel_AC210216_10670_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150416256,150416393,20.5,+,.,ID=435924;Target,ebel_AC188777_2128_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150416364,150416789,14.5,+,.,ID=435925;Target,ebel_AC210216_10670_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150416791,150417992,28,-,.,ID=435926;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150417991,150418096,23.3,-,.,ID=435927;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150417993,150418064,14.2,-,.,ID=435928;Target,RIL_nugimu_AC203843_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150417993,150418039,8.5,-,.,ID=435929;Target,RIL_ejoet_AC212216_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150418204,150418676,33.5,-,.,ID=435930;Target,RIL_koajav_AC205853_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150418323,150418723,32.4,-,.,ID=435931;Target,RIL_etiti_AC211734_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150418720,150419873,31.9,-,.,ID=435932;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150420167,150420868,28.5,+,.,ID=435933;Target,bosohe_AC185471_1125_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150420965,150421389,30.1,-,.,ID=435934;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150421392,150421486,12.6,-,.,ID=435935;Target,hiimam_AC207734_9687_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150421487,150421689,10.3,-,.,ID=435936;Target,hiimam_AC207734_9687_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150421690,150421845,31.5,-,.,ID=435937;Target,kuvi_AC207807_9734_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150421699,150421830,26.5,-,.,ID=435938;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150421927,150421948,0,+,.,ID=435939;Target,(CAG)n
chr10,RepeatMasker,dispersed_repeat,150422105,150422819,27.1,-,.,ID=435940;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150422811,150422895,20.2,-,.,ID=435941;Target,RIL_pyelum_AC203928_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150422902,150423173,24.3,-,.,ID=435942;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150423082,150423250,25.4,-,.,ID=435943;Target,kuvi_AC207807_9734_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150423200,150423390,22,-,.,ID=435944;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150423731,150423809,13.1,-,.,ID=435945;Target,hiimam_AC207734_9687_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150423754,150424019,22.4,-,.,ID=435946;Target,RIL_nugimu_AC203843_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150423985,150424165,30.9,-,.,ID=435947;Target,janoov_AC209690_10294_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150424009,150424616,34.3,-,.,ID=435948;Target,kuvi_AC207807_9734_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150424016,150424516,31.3,-,.,ID=435949;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150424639,150424767,29.9,-,.,ID=435950;Target,kuvi_AC207313_9512_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150424680,150425463,32.3,-,.,ID=435951;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150424976,150425681,27.7,-,.,ID=435952;Target,kuvi_AC207807_9734_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150425692,150426133,32.4,-,.,ID=435953;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150426136,150426211,7.9,-,.,ID=435954;Target,hiimam_AC207734_9687_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150426212,150431111,0.7,+,.,ID=435955;Target,homy_AC197914_5822_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150431136,150431323,12.2,-,.,ID=435956;Target,hiimam_AC207734_9687_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150431326,150435428,10.2,+,.,ID=435957;Target,anar_AC206985_9422_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150435463,150435566,22.1,-,.,ID=435958;Target,fehod_AC184774_851_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150435554,150436486,30.5,+,.,ID=435959;Target,RIX_ekeje_AC197537_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150436577,150436639,28.3,+,.,ID=435960;Target,(AATA)n
chr10,RepeatMasker,dispersed_repeat,150436819,150437166,27.5,-,.,ID=435961;Target,janoov_AC209690_10294_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150436925,150437165,22.3,-,.,ID=435962;Target,lusi_AC198175_5903_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150437167,150445959,8.3,+,.,ID=435963;Target,chr6_P_87978263_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150441330,150446609,7.2,+,.,ID=435964;Target,chr9_D_32444039_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150446606,150446809,27.9,-,.,ID=435965;Target,lusi_AC198175_5903_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150446806,150446917,24.3,-,.,ID=435966;Target,RIL_pyelum_AC203928_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150447091,150447459,36.4,-,.,ID=435967;Target,RIL_loneok_AC193379_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150447267,150448060,38,-,.,ID=435968;Target,RIL_pyelum_AC203928_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150448062,150448350,26.7,-,.,ID=435969;Target,hera_AC214536_12775_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150448063,150448398,27.9,-,.,ID=435970;Target,janoov_AC209690_10294_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150448355,150448564,20.5,-,.,ID=435971;Target,lusi_AC198175_5903_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150448579,150448781,28.4,+,.,ID=435972;Target,RIL_jikeuf_AC211152_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150448579,150448742,30.1,+,.,ID=435973;Target,RIX_ekeje_AC197537_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150448602,150448940,32.7,+,.,ID=435974;Target,RIL_loneok_AC193379_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150448940,150449242,28.4,-,.,ID=435975;Target,homy_AC197914_5822_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150450066,150450654,33.1,-,.,ID=435976;Target,hera_AC214536_12775_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150450072,150450946,35.6,-,.,ID=435977;Target,lusi_AC198175_5903_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150451103,150451159,22.3,+,.,ID=435978;Target,(TAAA)n
chr10,RepeatMasker,dispersed_repeat,150451330,150451526,22.5,+,.,ID=435979;Target,totu_AC194464_4142_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150451654,150452172,4.4,+,.,ID=435980;Target,DTA_ZM00295_consensus_MITE_DTA
chr10,RepeatMasker,dispersed_repeat,150452940,150453178,22.6,+,.,ID=435981;Target,totu_AC194464_4142_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150453094,150453189,15,-,.,ID=435982;Target,jelat_AC194217_3960_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150453173,150454175,23.3,+,.,ID=435983;Target,totu_AC194464_4142_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150454172,150454343,22.1,+,.,ID=435984;Target,pute_AC197188_5467_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150454204,150454920,27.9,+,.,ID=435985;Target,small_AC217574_13522_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150454339,150454920,21.5,+,.,ID=435986;Target,pute_AC197188_5467_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150454920,150455018,15.3,+,.,ID=435987;Target,victim_AC183319_577_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150455015,150455437,26.6,+,.,ID=435988;Target,kameer_AC194009_3819_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150455015,150455337,22.7,+,.,ID=435989;Target,victim_AC182414_456_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150455015,150455287,20.9,+,.,ID=435990;Target,victim_AC183319_577_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150455843,150455965,34.4,+,.,ID=435991;Target,dady_AC210684_10809_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150455864,150456634,23.9,+,.,ID=435992;Target,weaniv_AC196414_5097_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150456693,150456799,14,+,.,ID=435993;Target,kameer_AC194009_3819_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150457168,150457196,19.6,+,.,ID=435994;Target,(ATTA)n
chr10,RepeatMasker,dispersed_repeat,150457337,150457455,22.2,+,.,ID=435995;Target,DTH_ZM00226_consensus_MITE_DTH
