,seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif,Superfamily
21236,K10L2,RepeatMasker,dispersed_repeat,16280549,16280592,6.8,+,.,ID=21133;Target,RIL_naefe_AC212820_0_LINE,L1
21280,K10L2,RepeatMasker,dispersed_repeat,16302637,16303596,32,-,.,ID=21176;Target,ebel_AC188777_2128_LTR,Copia
21281,K10L2,RepeatMasker,dispersed_repeat,16303124,16303596,29.6,-,.,ID=21177;Target,kameer_AC194009_3819_LTR,Copia
21282,K10L2,RepeatMasker,dispersed_repeat,16303583,16303755,31.9,-,.,ID=21178;Target,DTH_ZM00358_consensus_MITE,DTH
21283,K10L2,RepeatMasker,dispersed_repeat,16303610,16303746,22.6,-,.,ID=21179;Target,DTH_ZM00102_consensus_MITE,DTH
21284,K10L2,RepeatMasker,dispersed_repeat,16303731,16304615,24.7,-,.,ID=21180;Target,totu_AC194464_4142_LTR,Copia
21285,K10L2,RepeatMasker,dispersed_repeat,16304606,16305041,22.2,-,.,ID=21181;Target,totu_AC194464_4142_LTR,Copia
21286,K10L2,RepeatMasker,dispersed_repeat,16305566,16307448,31.1,+,.,ID=21182;Target,tituer_AC196493_5158_LTR,Gypsy
21287,K10L2,RepeatMasker,dispersed_repeat,16307522,16307589,20.6,-,.,ID=21183;Target,RIL_koajav_AC205853_0_LINE,L1
21288,K10L2,RepeatMasker,dispersed_repeat,16307649,16307980,6.9,-,.,ID=21184;Target,RIL_koajav_AC205853_0_LINE,L1
21289,K10L2,RepeatMasker,dispersed_repeat,16307981,16308614,8.1,-,.,ID=21185;Target,tuteh_AC183372_584,LTR_unknown
21290,K10L2,RepeatMasker,dispersed_repeat,16308726,16310056,13.4,-,.,ID=21186;Target,RIX_ekeje_AC197537_0,LINE_unknown
21291,K10L2,RepeatMasker,dispersed_repeat,16310049,16310704,34.8,-,.,ID=21187;Target,RIL_ejoet_AC212216_0_LINE,L1
21292,K10L2,RepeatMasker,dispersed_repeat,16310306,16311403,35.8,-,.,ID=21188;Target,RIX_edaej_AC215611_0,LINE_unknown
21293,K10L2,RepeatMasker,dispersed_repeat,16310512,16311401,33,-,.,ID=21189;Target,RIL_jikeuf_AC211152_0_LINE,L1
21294,K10L2,RepeatMasker,dispersed_repeat,16311419,16311750,6,-,.,ID=21190;Target,RIL_koajav_AC205853_0_LINE,L1
21295,K10L2,RepeatMasker,dispersed_repeat,16311864,16311887,4.7,+,.,ID=21191;Target,(CAG)n,Simple Repeat
21296,K10L2,RepeatMasker,dispersed_repeat,16311935,16312012,14.6,+,.,ID=21192;Target,(CAG)n,Simple Repeat
21297,K10L2,RepeatMasker,dispersed_repeat,16311938,16312023,21.1,+,.,ID=21193;Target,(AGCAGGC)n,Simple Repeat
21298,K10L2,RepeatMasker,dispersed_repeat,16312601,16312849,19.4,-,.,ID=21194;Target,ebel_AC195143_4427_LTR,Copia
21299,K10L2,RepeatMasker,dispersed_repeat,16312642,16312849,14.6,-,.,ID=21195;Target,kameer_AC194009_3819_LTR,Copia
21300,K10L2,RepeatMasker,dispersed_repeat,16312842,16313142,25.8,+,.,ID=21196;Target,ebel_AC195143_4427_LTR,Copia
21301,K10L2,RepeatMasker,dispersed_repeat,16313150,16314238,23.8,+,.,ID=21197;Target,ebel_AC210216_10670_LTR,Copia
21302,K10L2,RepeatMasker,dispersed_repeat,16314242,16314722,28.7,+,.,ID=21198;Target,ebel_AC188777_2128_LTR,Copia
21303,K10L2,RepeatMasker,dispersed_repeat,16314242,16314671,29.3,+,.,ID=21199;Target,kameer_AC194009_3819_LTR,Copia
21304,K10L2,RepeatMasker,dispersed_repeat,16314242,16314470,21.5,+,.,ID=21200;Target,ebel_AC213044_12072_LTR,Copia
21305,K10L2,RepeatMasker,dispersed_repeat,16314668,16314917,22.3,+,.,ID=21201;Target,ebel_AC195143_4427_LTR,Copia
21306,K10L2,RepeatMasker,dispersed_repeat,16314709,16314917,19.1,+,.,ID=21202;Target,kameer_AC194009_3819_LTR,Copia
21307,K10L2,RepeatMasker,dispersed_repeat,16314710,16314946,23.4,+,.,ID=21203;Target,ajipe_AC183372_580_LTR,Copia
21308,K10L2,RepeatMasker,dispersed_repeat,16314917,16314993,24.4,+,.,ID=21204;Target,ebel_AC210216_10670_LTR,Copia
21309,K10L2,RepeatMasker,dispersed_repeat,16314993,16316926,26.5,+,.,ID=21205;Target,ebel_AC188777_2128_LTR,Copia
21310,K10L2,RepeatMasker,dispersed_repeat,16315586,16318200,30,+,.,ID=21206;Target,totu_AC194464_4142_LTR,Copia
21311,K10L2,RepeatMasker,dispersed_repeat,16316882,16318198,19,+,.,ID=21207;Target,ajipe_AC183372_580_LTR,Copia
21312,K10L2,RepeatMasker,dispersed_repeat,16318195,16318552,14.4,+,.,ID=21208;Target,ajipe_AC183372_580_LTR,Copia
21313,K10L2,RepeatMasker,dispersed_repeat,16318543,16318707,22.8,+,.,ID=21209;Target,ajipe_AC183372_580_LTR,Copia
21314,K10L2,RepeatMasker,dispersed_repeat,16319229,16319428,19.8,-,.,ID=21210;Target,DTA_ZM00309_consensus_MITE,DTA
21315,K10L2,RepeatMasker,dispersed_repeat,16319229,16319398,19,+,.,ID=21211;Target,DTA_ZM00233_consensus_DNA,DTA
21316,K10L2,RepeatMasker,dispersed_repeat,16319346,16319589,21.4,+,.,ID=21212;Target,DTA_ZM00233_consensus_DNA,DTA
21317,K10L2,RepeatMasker,dispersed_repeat,16319614,16320797,34.5,+,.,ID=21213;Target,RIL_koajav_AC205853_0_LINE,L1
21318,K10L2,RepeatMasker,dispersed_repeat,16320790,16320831,14.3,+,.,ID=21214;Target,RIL_pyelum_AC203928_0_LINE,L1
21319,K10L2,RepeatMasker,dispersed_repeat,16320796,16320831,11.1,+,.,ID=21215;Target,RIX_edaej_AC215611_0,LINE_unknown
21320,K10L2,RepeatMasker,dispersed_repeat,16321165,16321236,26.4,-,.,ID=21216;Target,DTA_ZM00309_consensus_MITE,DTA
21321,K10L2,RepeatMasker,dispersed_repeat,16321241,16321934,10.1,+,.,ID=21217;Target,feki_AC195127_4412_LTR,Copia
21322,K10L2,RepeatMasker,dispersed_repeat,16321940,16323838,10,-,.,ID=21218;Target,homy_AC197914_5822_LTR,Copia
21323,K10L2,RepeatMasker,dispersed_repeat,16323865,16326505,13.7,-,.,ID=21219;Target,homy_AC197914_5822_LTR,Copia
21324,K10L2,RepeatMasker,dispersed_repeat,16326519,16326787,3.5,-,.,ID=21220;Target,hesa_AC204349_8207_LTR,Copia
21325,K10L2,RepeatMasker,dispersed_repeat,16327019,16327520,32.4,-,.,ID=21221;Target,RIL_jikeuf_AC211152_0_LINE,L1
21326,K10L2,RepeatMasker,dispersed_repeat,16327222,16327643,37.6,-,.,ID=21222;Target,RIX_ekeje_AC197537_0,LINE_unknown
21327,K10L2,RepeatMasker,dispersed_repeat,16327669,16328082,29.7,+,.,ID=21223;Target,RIL_jikeuf_AC211152_0_LINE,L1
21328,K10L2,RepeatMasker,dispersed_repeat,16328181,16328301,21.1,+,.,ID=21224;Target,RIL_afeda_AC208414_0_LINE,L1
21329,K10L2,RepeatMasker,dispersed_repeat,16328237,16328301,21.9,+,.,ID=21225;Target,RIL_etiti_AC211734_0_LINE,L1
21330,K10L2,RepeatMasker,dispersed_repeat,16328804,16328837,12.8,+,.,ID=21226;Target,(ATTTAAA)n,Simple Repeat
21331,K10L2,RepeatMasker,dispersed_repeat,16328964,16329281,13,-,.,ID=21227;Target,DTH_ZM00202_consensus_MITE,DTH
21332,K10L2,RepeatMasker,dispersed_repeat,16329265,16329348,22.5,-,.,ID=21228;Target,tisy_AC193518_123_LTR,Copia
21333,K10L2,RepeatMasker,dispersed_repeat,16329282,16329347,4.6,-,.,ID=21229;Target,fehod_AC184774_851_LTR,Copia
21334,K10L2,RepeatMasker,dispersed_repeat,16329345,16329516,15.1,+,.,ID=21230;Target,ebel_AC210216_10670_LTR,Copia
21335,K10L2,RepeatMasker,dispersed_repeat,16329404,16329541,20.5,+,.,ID=21231;Target,ebel_AC188777_2128_LTR,Copia
21336,K10L2,RepeatMasker,dispersed_repeat,16329512,16329937,15.2,+,.,ID=21232;Target,ebel_AC210216_10670_LTR,Copia
21337,K10L2,RepeatMasker,dispersed_repeat,16329939,16331139,28,-,.,ID=21233;Target,fehod_AC184774_851_LTR,Copia
21338,K10L2,RepeatMasker,dispersed_repeat,16331138,16331243,25.7,-,.,ID=21234;Target,RIL_afeda_AC208414_0_LINE,L1
21339,K10L2,RepeatMasker,dispersed_repeat,16331140,16331211,14.2,-,.,ID=21235;Target,RIL_nugimu_AC203843_0_LINE,L1
21340,K10L2,RepeatMasker,dispersed_repeat,16331140,16331186,8.5,-,.,ID=21236;Target,RIL_ejoet_AC212216_0_LINE,L1
21341,K10L2,RepeatMasker,dispersed_repeat,16331351,16331823,33.5,-,.,ID=21237;Target,RIL_koajav_AC205853_0_LINE,L1
21342,K10L2,RepeatMasker,dispersed_repeat,16331470,16331870,32.4,-,.,ID=21238;Target,RIL_etiti_AC211734_0_LINE,L1
21343,K10L2,RepeatMasker,dispersed_repeat,16331867,16332998,32.5,-,.,ID=21239;Target,fehod_AC184774_851_LTR,Copia
21344,K10L2,RepeatMasker,dispersed_repeat,16333187,16333564,26.7,+,.,ID=21240;Target,bosohe_AC205330_8724_LTR,Gypsy
21345,K10L2,RepeatMasker,dispersed_repeat,16333304,16333841,29.3,+,.,ID=21241;Target,bosohe_AC212057_11553_LTR,Gypsy
21346,K10L2,RepeatMasker,dispersed_repeat,16333322,16333573,18,+,.,ID=21242;Target,bosohe_AC190752_2561_LTR,Gypsy
21347,K10L2,RepeatMasker,dispersed_repeat,16333382,16334225,28.8,+,.,ID=21243;Target,bosohe_AC185471_1125_LTR,Gypsy
21348,K10L2,RepeatMasker,dispersed_repeat,16334322,16334746,30.1,-,.,ID=21244;Target,fehod_AC184774_851_LTR,Copia
21349,K10L2,RepeatMasker,dispersed_repeat,16334749,16334833,8.2,-,.,ID=21245;Target,hiimam_AC207734_9687,LTR_unknown
21350,K10L2,RepeatMasker,dispersed_repeat,16334844,16335046,9.8,-,.,ID=21246;Target,hiimam_AC207734_9687,LTR_unknown
21351,K10L2,RepeatMasker,dispersed_repeat,16335047,16335202,31.5,-,.,ID=21247;Target,kuvi_AC207807_9734_LTR,Copia
21352,K10L2,RepeatMasker,dispersed_repeat,16335056,16335187,26.5,-,.,ID=21248;Target,fehod_AC184774_851_LTR,Copia
21353,K10L2,RepeatMasker,dispersed_repeat,16335284,16335305,0,+,.,ID=21249;Target,(CAG)n,Simple Repeat
21354,K10L2,RepeatMasker,dispersed_repeat,16335462,16336176,27,-,.,ID=21250;Target,fehod_AC184774_851_LTR,Copia
21355,K10L2,RepeatMasker,dispersed_repeat,16336168,16336251,20.5,-,.,ID=21251;Target,RIL_pyelum_AC203928_0_LINE,L1
21356,K10L2,RepeatMasker,dispersed_repeat,16336258,16336529,23.6,-,.,ID=21252;Target,fehod_AC184774_851_LTR,Copia
21357,K10L2,RepeatMasker,dispersed_repeat,16336438,16336606,25.4,-,.,ID=21253;Target,kuvi_AC207807_9734_LTR,Copia
21358,K10L2,RepeatMasker,dispersed_repeat,16336556,16336746,20.4,-,.,ID=21254;Target,fehod_AC184774_851_LTR,Copia
21359,K10L2,RepeatMasker,dispersed_repeat,16337109,16337374,22.4,-,.,ID=21255;Target,RIL_nugimu_AC203843_0_LINE,L1
21360,K10L2,RepeatMasker,dispersed_repeat,16337340,16337520,30.9,-,.,ID=21256;Target,janoov_AC209690_10294_LTR,Copia
21361,K10L2,RepeatMasker,dispersed_repeat,16337364,16337971,34.8,-,.,ID=21257;Target,kuvi_AC207807_9734_LTR,Copia
21362,K10L2,RepeatMasker,dispersed_repeat,16337371,16337871,31.5,-,.,ID=21258;Target,fehod_AC184774_851_LTR,Copia
21363,K10L2,RepeatMasker,dispersed_repeat,16337994,16338122,29.9,-,.,ID=21259;Target,kuvi_AC207313_9512_LTR,Copia
21364,K10L2,RepeatMasker,dispersed_repeat,16338035,16338818,32.5,-,.,ID=21260;Target,fehod_AC184774_851_LTR,Copia
21365,K10L2,RepeatMasker,dispersed_repeat,16338331,16339036,27.9,-,.,ID=21261;Target,kuvi_AC207807_9734_LTR,Copia
21366,K10L2,RepeatMasker,dispersed_repeat,16339047,16339488,32.7,-,.,ID=21262;Target,fehod_AC184774_851_LTR,Copia
21367,K10L2,RepeatMasker,dispersed_repeat,16339491,16339574,10.7,-,.,ID=21263;Target,hiimam_AC207734_9687,LTR_unknown
21368,K10L2,RepeatMasker,dispersed_repeat,16339586,16339773,12.2,-,.,ID=21264;Target,hiimam_AC207734_9687,LTR_unknown
21369,K10L2,RepeatMasker,dispersed_repeat,16339776,16343921,10.2,+,.,ID=21265;Target,anar_AC206985_9422_LTR,Copia
21370,K10L2,RepeatMasker,dispersed_repeat,16343956,16344059,22.1,-,.,ID=21266;Target,fehod_AC184774_851_LTR,Copia
21371,K10L2,RepeatMasker,dispersed_repeat,16344047,16344979,30.1,+,.,ID=21267;Target,RIX_ekeje_AC197537_0,LINE_unknown
21372,K10L2,RepeatMasker,dispersed_repeat,16345069,16345131,28.3,+,.,ID=21268;Target,(AATA)n,Simple Repeat
21373,K10L2,RepeatMasker,dispersed_repeat,16345311,16345853,28.5,-,.,ID=21269;Target,janoov_AC209690_10294_LTR,Copia
21374,K10L2,RepeatMasker,dispersed_repeat,16345417,16345853,24.7,-,.,ID=21270;Target,lusi_AC198175_5903_LTR,Copia
21375,K10L2,RepeatMasker,dispersed_repeat,16345850,16345961,24.3,-,.,ID=21271;Target,RIL_pyelum_AC203928_0_LINE,L1
21376,K10L2,RepeatMasker,dispersed_repeat,16346135,16346503,36.4,-,.,ID=21272;Target,RIL_loneok_AC193379_0_LINE,L1
21377,K10L2,RepeatMasker,dispersed_repeat,16346311,16347104,37.9,-,.,ID=21273;Target,RIL_pyelum_AC203928_0_LINE,L1
21378,K10L2,RepeatMasker,dispersed_repeat,16347107,16347939,27.2,-,.,ID=21274;Target,lusi_AC198175_5903_LTR,Copia
21379,K10L2,RepeatMasker,dispersed_repeat,16347858,16347954,32.6,-,.,ID=21275;Target,tufe_AC211502_11228_LTR,Copia
21380,K10L2,RepeatMasker,dispersed_repeat,16347954,16348156,26,+,.,ID=21276;Target,RIL_jikeuf_AC211152_0_LINE,L1
21381,K10L2,RepeatMasker,dispersed_repeat,16347954,16348117,26.1,+,.,ID=21277;Target,RIX_ekeje_AC197537_0,LINE_unknown
21382,K10L2,RepeatMasker,dispersed_repeat,16347977,16348315,32.7,+,.,ID=21278;Target,RIL_loneok_AC193379_0_LINE,L1
21383,K10L2,RepeatMasker,dispersed_repeat,16348315,16348617,28.4,-,.,ID=21279;Target,homy_AC197914_5822_LTR,Copia
21384,K10L2,RepeatMasker,dispersed_repeat,16349441,16350029,34.1,-,.,ID=21280;Target,hera_AC214536_12775_LTR,Copia
21385,K10L2,RepeatMasker,dispersed_repeat,16349447,16350321,35.5,-,.,ID=21281;Target,lusi_AC198175_5903_LTR,Copia
21386,K10L2,RepeatMasker,dispersed_repeat,16350478,16350534,22.3,+,.,ID=21282;Target,(TAAA)n,Simple Repeat
21387,K10L2,RepeatMasker,dispersed_repeat,16350705,16350907,24.4,+,.,ID=21283;Target,totu_AC194464_4142_LTR,Copia
21388,K10L2,RepeatMasker,dispersed_repeat,16350731,16350943,27.1,+,.,ID=21284;Target,ebel_AC195143_4427_LTR,Copia
21389,K10L2,RepeatMasker,dispersed_repeat,16351035,16351510,3.8,+,.,ID=21285;Target,DTA_ZM00295_consensus_MITE,DTA
21390,K10L2,RepeatMasker,dispersed_repeat,16352296,16352534,22.6,+,.,ID=21286;Target,totu_AC194464_4142_LTR,Copia
21391,K10L2,RepeatMasker,dispersed_repeat,16352450,16352545,15,-,.,ID=21287;Target,jelat_AC194217_3960_LTR,Copia
21392,K10L2,RepeatMasker,dispersed_repeat,16352529,16353531,23.3,+,.,ID=21288;Target,totu_AC194464_4142_LTR,Copia
21393,K10L2,RepeatMasker,dispersed_repeat,16353528,16354317,22.1,+,.,ID=21289;Target,pute_AC197188_5467_LTR,Copia
21394,K10L2,RepeatMasker,dispersed_repeat,16354317,16354415,15.3,+,.,ID=21290;Target,victim_AC183319_577_LTR,Copia
21395,K10L2,RepeatMasker,dispersed_repeat,16354412,16354822,23.8,+,.,ID=21291;Target,ebel_AC195143_4427_LTR,Copia
21396,K10L2,RepeatMasker,dispersed_repeat,16354412,16354734,23,+,.,ID=21292;Target,victim_AC182414_456_LTR,Copia
21397,K10L2,RepeatMasker,dispersed_repeat,16354412,16354684,20.5,+,.,ID=21293;Target,victim_AC183319_577_LTR,Copia
21398,K10L2,RepeatMasker,dispersed_repeat,16355240,16355362,32.8,+,.,ID=21294;Target,dady_AC210684_10809_LTR,Gypsy
21399,K10L2,RepeatMasker,dispersed_repeat,16355261,16356029,23.7,+,.,ID=21295;Target,weaniv_AC196414_5097_LTR,Gypsy
21400,K10L2,RepeatMasker,dispersed_repeat,16356088,16356194,13.1,+,.,ID=21296;Target,kameer_AC194009_3819_LTR,Copia
21401,K10L2,RepeatMasker,dispersed_repeat,16356562,16356590,19.6,+,.,ID=21297;Target,(ATTA)n,Simple Repeat
21402,K10L2,RepeatMasker,dispersed_repeat,16356731,16356848,23.1,+,.,ID=21298;Target,DTH_ZM00226_consensus_MITE,DTH
588211,K10L2,.,five_prime_UTR,16357180,16357330,.,-,.,ID=g258.t1.utr5p1,NA,
588212,K10L2,.,exon,16357147,16357330,.,-,.,ID=g258.t1.exon1,NA,
588214,K10L2,.,exon,16354927,16354977,.,-,.,ID=g258.t1.exon2,NA,
588216,K10L2,.,exon,16350381,16350474,.,-,.,ID=g258.t1.exon3,NA,
588218,K10L2,.,exon,16345168,16345298,.,-,.,ID=g258.t1.exon4,NA,
588220,K10L2,.,exon,16344987,16345058,.,-,.,ID=g258.t1.exon5,NA,
588222,K10L2,.,exon,16336936,16337001,.,-,.,ID=g258.t1.exon6,NA,
588224,K10L2,.,exon,16336785,16336868,.,-,.,ID=g258.t1.exon7,NA,
588226,K10L2,.,exon,16328670,16328799,.,-,.,ID=g258.t1.exon8,NA,
588228,K10L2,.,exon,16328458,16328567,.,-,.,ID=g258.t1.exon9,NA,
588230,K10L2,.,exon,16318944,16319102,.,-,.,ID=g258.t1.exon10,NA,
588232,K10L2,.,exon,16318737,16318873,.,-,.,ID=g258.t1.exon11,NA,
588234,K10L2,.,exon,16312415,16312496,.,-,.,ID=g258.t1.exon12,NA,
588236,K10L2,.,exon,16312230,16312319,.,-,.,ID=g258.t1.exon13,NA,
588238,K10L2,.,exon,16301352,16301456,.,-,.,ID=g258.t1.exon14,NA,
588240,K10L2,.,exon,16301148,16301267,.,-,.,ID=g258.t1.exon15,NA,
588242,K10L2,.,exon,16291098,16291167,.,-,.,ID=g258.t1.exon16,NA,
588244,K10L2,.,exon,16290945,16290990,.,-,.,ID=g258.t1.exon17,NA,
588246,K10L2,.,exon,16280704,16280769,.,-,.,ID=g258.t1.exon18,NA,
588248,K10L2,.,exon,16280429,16280627,.,-,.,ID=g258.t1.exon19,NA,
588250,K10L2,.,three_prime_UTR,16280429,16280605,.,-,.,ID=g258.t1.utr3p1,NA,
