seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif
K10L2,RepeatMasker,dispersed_repeat,16280549,16280592,6.8,+,.,ID=21133;Target,RIL_naefe_AC212820_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16291171,16291214,20.9,+,.,ID=21155;Target,(AAT)n
K10L2,RepeatMasker,dispersed_repeat,16291288,16291331,23.9,+,.,ID=21156;Target,(CA)n
K10L2,RepeatMasker,dispersed_repeat,16291460,16292539,28.3,-,.,ID=21157;Target,RIL_afeda_AC208414_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16292547,16293905,28.2,-,.,ID=21158;Target,RIL_afeda_AC208414_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16293889,16294343,30.5,-,.,ID=21159;Target,RIL_jikeuf_AC211152_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16294365,16294721,35.3,-,.,ID=21160;Target,RIX_edaej_AC215611_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16294413,16294720,32,-,.,ID=21161;Target,RIL_etiti_AC211734_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16294728,16294929,16.5,+,.,ID=21162;Target,DTA_ZM00096_consensus_DNA_DTA
K10L2,RepeatMasker,dispersed_repeat,16296127,16296969,35,-,.,ID=21163;Target,RIL_nugimu_AC203843_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16296966,16297061,18.9,+,.,ID=21164;Target,RIX_leijoh_AC212369_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16297128,16298422,34.7,-,.,ID=21165;Target,RIL_pyelum_AC203928_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16298729,16298929,6,-,.,ID=21166;Target,DTH_ZM00280_consensus_MITE_DTH
K10L2,RepeatMasker,dispersed_repeat,16299905,16300310,37.5,-,.,ID=21167;Target,RIL_afeda_AC208414_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16300435,16300723,34.4,-,.,ID=21168;Target,RIL_etiti_AC211734_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16300553,16300748,37.2,-,.,ID=21169;Target,RIX_edaej_AC215611_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16300957,16301032,25.3,-,.,ID=21170;Target,RIX_edaej_AC215611_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16301464,16301545,23.8,+,.,ID=21171;Target,(AAAT)n
K10L2,RepeatMasker,dispersed_repeat,16301810,16301877,27.9,+,.,ID=21172;Target,huck_AC208546_9913_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16302393,16302585,18,+,.,ID=21173;Target,huck_AC208546_9913_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16302609,16303132,30,-,.,ID=21174;Target,victim_AC183319_577_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16302611,16303235,32.3,-,.,ID=21175;Target,victim_AC182414_456_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16302637,16303596,32,-,.,ID=21176;Target,ebel_AC188777_2128_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16303124,16303596,29.6,-,.,ID=21177;Target,kameer_AC194009_3819_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16303583,16303755,31.9,-,.,ID=21178;Target,DTH_ZM00358_consensus_MITE_DTH
K10L2,RepeatMasker,dispersed_repeat,16303610,16303746,22.6,-,.,ID=21179;Target,DTH_ZM00102_consensus_MITE_DTH
K10L2,RepeatMasker,dispersed_repeat,16303731,16304615,24.7,-,.,ID=21180;Target,totu_AC194464_4142_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16304606,16305041,22.2,-,.,ID=21181;Target,totu_AC194464_4142_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16305566,16307448,31.1,+,.,ID=21182;Target,tituer_AC196493_5158_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16307522,16307589,20.6,-,.,ID=21183;Target,RIL_koajav_AC205853_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16307649,16307980,6.9,-,.,ID=21184;Target,RIL_koajav_AC205853_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16307981,16308614,8.1,-,.,ID=21185;Target,tuteh_AC183372_584_LTR_unknown
K10L2,RepeatMasker,dispersed_repeat,16308726,16310056,13.4,-,.,ID=21186;Target,RIX_ekeje_AC197537_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16310049,16310704,34.8,-,.,ID=21187;Target,RIL_ejoet_AC212216_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16310306,16311403,35.8,-,.,ID=21188;Target,RIX_edaej_AC215611_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16310512,16311401,33,-,.,ID=21189;Target,RIL_jikeuf_AC211152_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16311419,16311750,6,-,.,ID=21190;Target,RIL_koajav_AC205853_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16311864,16311887,4.7,+,.,ID=21191;Target,(CAG)n
K10L2,RepeatMasker,dispersed_repeat,16311935,16312012,14.6,+,.,ID=21192;Target,(CAG)n
K10L2,RepeatMasker,dispersed_repeat,16311938,16312023,21.1,+,.,ID=21193;Target,(AGCAGGC)n
K10L2,RepeatMasker,dispersed_repeat,16312601,16312849,19.4,-,.,ID=21194;Target,ebel_AC195143_4427_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16312642,16312849,14.6,-,.,ID=21195;Target,kameer_AC194009_3819_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16312842,16313142,25.8,+,.,ID=21196;Target,ebel_AC195143_4427_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16313150,16314238,23.8,+,.,ID=21197;Target,ebel_AC210216_10670_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16314242,16314722,28.7,+,.,ID=21198;Target,ebel_AC188777_2128_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16314242,16314671,29.3,+,.,ID=21199;Target,kameer_AC194009_3819_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16314242,16314470,21.5,+,.,ID=21200;Target,ebel_AC213044_12072_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16314668,16314917,22.3,+,.,ID=21201;Target,ebel_AC195143_4427_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16314709,16314917,19.1,+,.,ID=21202;Target,kameer_AC194009_3819_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16314710,16314946,23.4,+,.,ID=21203;Target,ajipe_AC183372_580_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16314917,16314993,24.4,+,.,ID=21204;Target,ebel_AC210216_10670_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16314993,16316926,26.5,+,.,ID=21205;Target,ebel_AC188777_2128_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16315586,16318200,30,+,.,ID=21206;Target,totu_AC194464_4142_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16316882,16318198,19,+,.,ID=21207;Target,ajipe_AC183372_580_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16318195,16318552,14.4,+,.,ID=21208;Target,ajipe_AC183372_580_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16318543,16318707,22.8,+,.,ID=21209;Target,ajipe_AC183372_580_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16319229,16319428,19.8,-,.,ID=21210;Target,DTA_ZM00309_consensus_MITE_DTA
K10L2,RepeatMasker,dispersed_repeat,16319229,16319398,19,+,.,ID=21211;Target,DTA_ZM00233_consensus_DNA_DTA
K10L2,RepeatMasker,dispersed_repeat,16319346,16319589,21.4,+,.,ID=21212;Target,DTA_ZM00233_consensus_DNA_DTA
K10L2,RepeatMasker,dispersed_repeat,16319614,16320797,34.5,+,.,ID=21213;Target,RIL_koajav_AC205853_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16320790,16320831,14.3,+,.,ID=21214;Target,RIL_pyelum_AC203928_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16320796,16320831,11.1,+,.,ID=21215;Target,RIX_edaej_AC215611_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16321165,16321236,26.4,-,.,ID=21216;Target,DTA_ZM00309_consensus_MITE_DTA
K10L2,RepeatMasker,dispersed_repeat,16321241,16321934,10.1,+,.,ID=21217;Target,feki_AC195127_4412_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16321940,16323838,10,-,.,ID=21218;Target,homy_AC197914_5822_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16323865,16326505,13.7,-,.,ID=21219;Target,homy_AC197914_5822_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16326519,16326787,3.5,-,.,ID=21220;Target,hesa_AC204349_8207_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16327019,16327520,32.4,-,.,ID=21221;Target,RIL_jikeuf_AC211152_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16327222,16327643,37.6,-,.,ID=21222;Target,RIX_ekeje_AC197537_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16327669,16328082,29.7,+,.,ID=21223;Target,RIL_jikeuf_AC211152_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16328181,16328301,21.1,+,.,ID=21224;Target,RIL_afeda_AC208414_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16328237,16328301,21.9,+,.,ID=21225;Target,RIL_etiti_AC211734_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16328804,16328837,12.8,+,.,ID=21226;Target,(ATTTAAA)n
K10L2,RepeatMasker,dispersed_repeat,16328964,16329281,13,-,.,ID=21227;Target,DTH_ZM00202_consensus_MITE_DTH
K10L2,RepeatMasker,dispersed_repeat,16329265,16329348,22.5,-,.,ID=21228;Target,tisy_AC193518_123_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16329282,16329347,4.6,-,.,ID=21229;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16329345,16329516,15.1,+,.,ID=21230;Target,ebel_AC210216_10670_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16329404,16329541,20.5,+,.,ID=21231;Target,ebel_AC188777_2128_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16329512,16329937,15.2,+,.,ID=21232;Target,ebel_AC210216_10670_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16329939,16331139,28,-,.,ID=21233;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16331138,16331243,25.7,-,.,ID=21234;Target,RIL_afeda_AC208414_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16331140,16331211,14.2,-,.,ID=21235;Target,RIL_nugimu_AC203843_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16331140,16331186,8.5,-,.,ID=21236;Target,RIL_ejoet_AC212216_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16331351,16331823,33.5,-,.,ID=21237;Target,RIL_koajav_AC205853_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16331470,16331870,32.4,-,.,ID=21238;Target,RIL_etiti_AC211734_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16331867,16332998,32.5,-,.,ID=21239;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16333187,16333564,26.7,+,.,ID=21240;Target,bosohe_AC205330_8724_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16333304,16333841,29.3,+,.,ID=21241;Target,bosohe_AC212057_11553_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16333322,16333573,18,+,.,ID=21242;Target,bosohe_AC190752_2561_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16333382,16334225,28.8,+,.,ID=21243;Target,bosohe_AC185471_1125_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16334322,16334746,30.1,-,.,ID=21244;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16334749,16334833,8.2,-,.,ID=21245;Target,hiimam_AC207734_9687_LTR_unknown
K10L2,RepeatMasker,dispersed_repeat,16334844,16335046,9.8,-,.,ID=21246;Target,hiimam_AC207734_9687_LTR_unknown
K10L2,RepeatMasker,dispersed_repeat,16335047,16335202,31.5,-,.,ID=21247;Target,kuvi_AC207807_9734_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16335056,16335187,26.5,-,.,ID=21248;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16335284,16335305,0,+,.,ID=21249;Target,(CAG)n
K10L2,RepeatMasker,dispersed_repeat,16335462,16336176,27,-,.,ID=21250;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16336168,16336251,20.5,-,.,ID=21251;Target,RIL_pyelum_AC203928_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16336258,16336529,23.6,-,.,ID=21252;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16336438,16336606,25.4,-,.,ID=21253;Target,kuvi_AC207807_9734_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16336556,16336746,20.4,-,.,ID=21254;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16337109,16337374,22.4,-,.,ID=21255;Target,RIL_nugimu_AC203843_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16337340,16337520,30.9,-,.,ID=21256;Target,janoov_AC209690_10294_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16337364,16337971,34.8,-,.,ID=21257;Target,kuvi_AC207807_9734_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16337371,16337871,31.5,-,.,ID=21258;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16337994,16338122,29.9,-,.,ID=21259;Target,kuvi_AC207313_9512_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16338035,16338818,32.5,-,.,ID=21260;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16338331,16339036,27.9,-,.,ID=21261;Target,kuvi_AC207807_9734_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16339047,16339488,32.7,-,.,ID=21262;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16339491,16339574,10.7,-,.,ID=21263;Target,hiimam_AC207734_9687_LTR_unknown
K10L2,RepeatMasker,dispersed_repeat,16339586,16339773,12.2,-,.,ID=21264;Target,hiimam_AC207734_9687_LTR_unknown
K10L2,RepeatMasker,dispersed_repeat,16339776,16343921,10.2,+,.,ID=21265;Target,anar_AC206985_9422_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16343956,16344059,22.1,-,.,ID=21266;Target,fehod_AC184774_851_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16344047,16344979,30.1,+,.,ID=21267;Target,RIX_ekeje_AC197537_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16345069,16345131,28.3,+,.,ID=21268;Target,(AATA)n
K10L2,RepeatMasker,dispersed_repeat,16345311,16345853,28.5,-,.,ID=21269;Target,janoov_AC209690_10294_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16345417,16345853,24.7,-,.,ID=21270;Target,lusi_AC198175_5903_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16345850,16345961,24.3,-,.,ID=21271;Target,RIL_pyelum_AC203928_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16346135,16346503,36.4,-,.,ID=21272;Target,RIL_loneok_AC193379_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16346311,16347104,37.9,-,.,ID=21273;Target,RIL_pyelum_AC203928_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16347107,16347939,27.2,-,.,ID=21274;Target,lusi_AC198175_5903_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16347858,16347954,32.6,-,.,ID=21275;Target,tufe_AC211502_11228_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16347954,16348156,26,+,.,ID=21276;Target,RIL_jikeuf_AC211152_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16347954,16348117,26.1,+,.,ID=21277;Target,RIX_ekeje_AC197537_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16347977,16348315,32.7,+,.,ID=21278;Target,RIL_loneok_AC193379_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16348315,16348617,28.4,-,.,ID=21279;Target,homy_AC197914_5822_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16349441,16350029,34.1,-,.,ID=21280;Target,hera_AC214536_12775_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16349447,16350321,35.5,-,.,ID=21281;Target,lusi_AC198175_5903_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16350478,16350534,22.3,+,.,ID=21282;Target,(TAAA)n
K10L2,RepeatMasker,dispersed_repeat,16350705,16350907,24.4,+,.,ID=21283;Target,totu_AC194464_4142_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16350731,16350943,27.1,+,.,ID=21284;Target,ebel_AC195143_4427_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16351035,16351510,3.8,+,.,ID=21285;Target,DTA_ZM00295_consensus_MITE_DTA
K10L2,RepeatMasker,dispersed_repeat,16352296,16352534,22.6,+,.,ID=21286;Target,totu_AC194464_4142_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16352450,16352545,15,-,.,ID=21287;Target,jelat_AC194217_3960_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16352529,16353531,23.3,+,.,ID=21288;Target,totu_AC194464_4142_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16353528,16354317,22.1,+,.,ID=21289;Target,pute_AC197188_5467_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16354317,16354415,15.3,+,.,ID=21290;Target,victim_AC183319_577_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16354412,16354822,23.8,+,.,ID=21291;Target,ebel_AC195143_4427_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16354412,16354734,23,+,.,ID=21292;Target,victim_AC182414_456_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16354412,16354684,20.5,+,.,ID=21293;Target,victim_AC183319_577_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16355240,16355362,32.8,+,.,ID=21294;Target,dady_AC210684_10809_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16355261,16356029,23.7,+,.,ID=21295;Target,weaniv_AC196414_5097_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16356088,16356194,13.1,+,.,ID=21296;Target,kameer_AC194009_3819_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16356562,16356590,19.6,+,.,ID=21297;Target,(ATTA)n
K10L2,RepeatMasker,dispersed_repeat,16356731,16356848,23.1,+,.,ID=21298;Target,DTH_ZM00226_consensus_MITE_DTH
