,seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif,Superfamily
437614,chr10,RepeatMasker,dispersed_repeat,148968896,148969014,20.5,-,.,ID=434519;Target,DTH_ZM00226_consensus_MITE,DTH
437673,chr10,RepeatMasker,dispersed_repeat,149007913,149008068,31.5,+,.,ID=434578;Target,kuvi_AC207807_9734_LTR,Copia
437674,chr10,RepeatMasker,dispersed_repeat,149007928,149008059,26.5,+,.,ID=434579;Target,fehod_AC184774_851_LTR,Copia
437675,chr10,RepeatMasker,dispersed_repeat,149008069,149008271,9.8,+,.,ID=434580;Target,hiimam_AC207734_9687,LTR_unknown
437676,chr10,RepeatMasker,dispersed_repeat,149008282,149008366,8.2,+,.,ID=434581;Target,hiimam_AC207734_9687,LTR_unknown
437677,chr10,RepeatMasker,dispersed_repeat,149008369,149008793,30.4,+,.,ID=434582;Target,fehod_AC184774_851_LTR,Copia
437678,chr10,RepeatMasker,dispersed_repeat,149008794,149009085,27.8,+,.,ID=434583;Target,fehod_AC184774_851_LTR,Copia
437679,chr10,RepeatMasker,dispersed_repeat,149009063,149009183,30.5,-,.,ID=434584;Target,kubi_AC196180_5016_LTR,Gypsy
437680,chr10,RepeatMasker,dispersed_repeat,149009086,149009290,21.5,-,.,ID=434585;Target,bosohe_AC190752_2561_LTR,Gypsy
437681,chr10,RepeatMasker,dispersed_repeat,149009097,149009383,27.6,-,.,ID=434586;Target,bosohe_AC205330_8724_LTR,Gypsy
437682,chr10,RepeatMasker,dispersed_repeat,149009544,149012335,25.7,-,.,ID=434587;Target,bosohe_AC213600_12201_LTR,Gypsy
437683,chr10,RepeatMasker,dispersed_repeat,149012351,149012490,28.6,-,.,ID=434588;Target,kupu_AC216069_13264_LTR,Gypsy
437684,chr10,RepeatMasker,dispersed_repeat,149012372,149013562,28,-,.,ID=434589;Target,lamyab_AC208713_10008_LTR,Gypsy
437685,chr10,RepeatMasker,dispersed_repeat,149013280,149013655,28.1,-,.,ID=434590;Target,bosohe_AC205330_8724_LTR,Gypsy
437686,chr10,RepeatMasker,dispersed_repeat,149013844,149014997,32.5,+,.,ID=434591;Target,fehod_AC184774_851_LTR,Copia
437687,chr10,RepeatMasker,dispersed_repeat,149014994,149015403,33.9,+,.,ID=434592;Target,RIL_etiti_AC211734_0_LINE,L1
437688,chr10,RepeatMasker,dispersed_repeat,149015041,149015513,34,+,.,ID=434593;Target,RIL_koajav_AC205853_0_LINE,L1
437689,chr10,RepeatMasker,dispersed_repeat,149015621,149015725,22.5,+,.,ID=434594;Target,RIL_afeda_AC208414_0_LINE,L1
437690,chr10,RepeatMasker,dispersed_repeat,149015653,149015725,14.1,+,.,ID=434595;Target,RIL_nugimu_AC203843_0_LINE,L1
437691,chr10,RepeatMasker,dispersed_repeat,149015678,149015723,8.7,+,.,ID=434596;Target,RIL_ejoet_AC212216_0_LINE,L1
437692,chr10,RepeatMasker,dispersed_repeat,149015724,149016924,28,+,.,ID=434597;Target,fehod_AC184774_851_LTR,Copia
437693,chr10,RepeatMasker,dispersed_repeat,149016926,149017351,14.7,-,.,ID=434598;Target,ebel_AC210216_10670_LTR,Copia
437694,chr10,RepeatMasker,dispersed_repeat,149017322,149017459,20.5,-,.,ID=434599;Target,ebel_AC188777_2128_LTR,Copia
437695,chr10,RepeatMasker,dispersed_repeat,149017347,149017518,15.1,-,.,ID=434600;Target,ebel_AC210216_10670_LTR,Copia
437696,chr10,RepeatMasker,dispersed_repeat,149017515,149017607,22.8,+,.,ID=434601;Target,tisy_AC193518_123_LTR,Copia
437697,chr10,RepeatMasker,dispersed_repeat,149017516,149017581,4.6,+,.,ID=434602;Target,fehod_AC184774_851_LTR,Copia
437698,chr10,RepeatMasker,dispersed_repeat,149017582,149017899,12.7,+,.,ID=434603;Target,DTH_ZM00202_consensus_MITE,DTH
437699,chr10,RepeatMasker,dispersed_repeat,149018562,149018682,21.1,-,.,ID=434604;Target,RIL_afeda_AC208414_0_LINE,L1
437700,chr10,RepeatMasker,dispersed_repeat,149018562,149018626,21.9,-,.,ID=434605;Target,RIL_etiti_AC211734_0_LINE,L1
437701,chr10,RepeatMasker,dispersed_repeat,149018781,149019194,30.4,-,.,ID=434606;Target,RIL_jikeuf_AC211152_0_LINE,L1
437702,chr10,RepeatMasker,dispersed_repeat,149019220,149019641,37.6,+,.,ID=434607;Target,RIX_ekeje_AC197537_0,LINE_unknown
437703,chr10,RepeatMasker,dispersed_repeat,149019343,149019844,32.4,+,.,ID=434608;Target,RIL_jikeuf_AC211152_0_LINE,L1
437704,chr10,RepeatMasker,dispersed_repeat,149019387,149019979,33.1,+,.,ID=434609;Target,RIL_etiti_AC211734_0_LINE,L1
437705,chr10,RepeatMasker,dispersed_repeat,149019398,149020075,35.9,+,.,ID=434610;Target,RIL_afeda_AC208414_0_LINE,L1
437706,chr10,RepeatMasker,dispersed_repeat,149020076,149020344,4.8,+,.,ID=434611;Target,hesa_AC204349_8207_LTR,Copia
437707,chr10,RepeatMasker,dispersed_repeat,149020370,149022998,13.9,+,.,ID=434612;Target,homy_AC197914_5822_LTR,Copia
437708,chr10,RepeatMasker,dispersed_repeat,149023019,149024915,9.9,+,.,ID=434613;Target,homy_AC197914_5822_LTR,Copia
437709,chr10,RepeatMasker,dispersed_repeat,149024887,149025614,11.3,-,.,ID=434614;Target,feki_AC195127_4412_LTR,Copia
437710,chr10,RepeatMasker,dispersed_repeat,149025619,149025690,25,+,.,ID=434615;Target,DTA_ZM00309_consensus_MITE,DTA
437711,chr10,RepeatMasker,dispersed_repeat,149026037,149026079,13.9,-,.,ID=434616;Target,RIL_pyelum_AC203928_0_LINE,L1
437712,chr10,RepeatMasker,dispersed_repeat,149026037,149026073,10.8,-,.,ID=434617;Target,RIX_edaej_AC215611_0,LINE_unknown
437713,chr10,RepeatMasker,dispersed_repeat,149026072,149027256,35.1,-,.,ID=434618;Target,RIL_koajav_AC205853_0_LINE,L1
437714,chr10,RepeatMasker,dispersed_repeat,149027281,149027641,20.6,-,.,ID=434619;Target,DTA_ZM00233_consensus_DNA,DTA
437715,chr10,RepeatMasker,dispersed_repeat,149028163,149028326,24.1,-,.,ID=434620;Target,ajipe_AC183372_580_LTR,Copia
437716,chr10,RepeatMasker,dispersed_repeat,149028317,149028674,14.4,-,.,ID=434621;Target,ajipe_AC183372_580_LTR,Copia
437717,chr10,RepeatMasker,dispersed_repeat,149028669,149031283,30,-,.,ID=434622;Target,totu_AC194464_4142_LTR,Copia
437718,chr10,RepeatMasker,dispersed_repeat,149029943,149031876,26.8,-,.,ID=434623;Target,ebel_AC188777_2128_LTR,Copia
437719,chr10,RepeatMasker,dispersed_repeat,149031876,149031952,25.7,-,.,ID=434624;Target,ebel_AC210216_10670_LTR,Copia
437720,chr10,RepeatMasker,dispersed_repeat,149031923,149032159,23.8,-,.,ID=434625;Target,ajipe_AC183372_580_LTR,Copia
437721,chr10,RepeatMasker,dispersed_repeat,149031952,149032201,23.6,-,.,ID=434626;Target,ebel_AC195143_4427_LTR,Copia
437722,chr10,RepeatMasker,dispersed_repeat,149031952,149032160,20.6,-,.,ID=434627;Target,kameer_AC194009_3819_LTR,Copia
437723,chr10,RepeatMasker,dispersed_repeat,149032147,149032627,28.8,-,.,ID=434628;Target,ebel_AC188777_2128_LTR,Copia
437724,chr10,RepeatMasker,dispersed_repeat,149032198,149032627,29,-,.,ID=434629;Target,kameer_AC194009_3819_LTR,Copia
437725,chr10,RepeatMasker,dispersed_repeat,149032399,149033603,27.7,-,.,ID=434630;Target,ebel_AC213044_12072_LTR,Copia
437726,chr10,RepeatMasker,dispersed_repeat,149032631,149033717,23.7,-,.,ID=434631;Target,ebel_AC210216_10670_LTR,Copia
437727,chr10,RepeatMasker,dispersed_repeat,149033684,149034024,30.6,-,.,ID=434632;Target,wamenu_AC191287_3028_LTR,Copia
437728,chr10,RepeatMasker,dispersed_repeat,149033725,149034024,25.5,-,.,ID=434633;Target,ebel_AC195143_4427_LTR,Copia
437729,chr10,RepeatMasker,dispersed_repeat,149034017,149034265,19.8,+,.,ID=434634;Target,ebel_AC195143_4427_LTR,Copia
437730,chr10,RepeatMasker,dispersed_repeat,149034017,149034224,15,+,.,ID=434635;Target,kameer_AC194009_3819_LTR,Copia
437731,chr10,RepeatMasker,dispersed_repeat,149034852,149034928,11.9,+,.,ID=434636;Target,(CTTGCTG)n,Simple Repeat
437732,chr10,RepeatMasker,dispersed_repeat,149034854,149034931,14.5,+,.,ID=434637;Target,(TGC)n,Simple Repeat
437733,chr10,RepeatMasker,dispersed_repeat,149034979,149035002,4.7,+,.,ID=434638;Target,(TGC)n,Simple Repeat
437734,chr10,RepeatMasker,dispersed_repeat,149035116,149035447,6,+,.,ID=434639;Target,RIL_koajav_AC205853_0_LINE,L1
437735,chr10,RepeatMasker,dispersed_repeat,149035462,149036563,36.1,+,.,ID=434640;Target,RIL_pyelum_AC203928_0_LINE,L1
437736,chr10,RepeatMasker,dispersed_repeat,149035466,149036818,35.1,+,.,ID=434641;Target,RIL_afeda_AC208414_0_LINE,L1
437737,chr10,RepeatMasker,dispersed_repeat,149035561,149036371,36.3,+,.,ID=434642;Target,RIX_leijoh_AC212369_0,LINE_unknown
437738,chr10,RepeatMasker,dispersed_repeat,149036820,149037117,16.9,+,.,ID=434643;Target,tuteh_AC183372_584,LTR_unknown
437739,chr10,RepeatMasker,dispersed_repeat,149037667,149037721,31.2,+,.,ID=434644;Target,(CGC)n,Simple Repeat
437740,chr10,RepeatMasker,dispersed_repeat,149037772,149037828,17.3,+,.,ID=434645;Target,(GGCGCG)n,Simple Repeat
437741,chr10,RepeatMasker,dispersed_repeat,149038257,149038870,9,+,.,ID=434646;Target,tuteh_AC183372_584,LTR_unknown
437742,chr10,RepeatMasker,dispersed_repeat,149038751,149038887,9.7,+,.,ID=434647;Target,tuteh_AC183372_584,LTR_unknown
437743,chr10,RepeatMasker,dispersed_repeat,149038901,149040224,13.5,+,.,ID=434648;Target,RIX_ekeje_AC197537_0,LINE_unknown
437744,chr10,RepeatMasker,dispersed_repeat,149040227,149040974,12.4,+,.,ID=434649;Target,tuteh_AC183372_584,LTR_unknown
437745,chr10,RepeatMasker,dispersed_repeat,149040975,149041963,8.2,+,.,ID=434650;Target,RIL_koajav_AC205853_0_LINE,L1
437746,chr10,RepeatMasker,dispersed_repeat,149042031,149042092,25.8,-,.,ID=434651;Target,tituer_AC196493_5158_LTR,Gypsy
437747,chr10,RepeatMasker,dispersed_repeat,149042040,149042100,21.3,-,.,ID=434652;Target,apil_AC198662_6085_LTR,Gypsy
437748,chr10,RepeatMasker,dispersed_repeat,149042114,149042181,20.6,+,.,ID=434653;Target,RIL_koajav_AC205853_0_LINE,L1
437749,chr10,RepeatMasker,dispersed_repeat,149042250,149042846,28.4,-,.,ID=434654;Target,tituer_AC196493_5158_LTR,Gypsy
437750,chr10,RepeatMasker,dispersed_repeat,149042847,149042964,13.4,-,.,ID=434655;Target,wiru_AC210670_10789_LTR,Gypsy
437751,chr10,RepeatMasker,dispersed_repeat,149043037,149043245,27.4,-,.,ID=434656;Target,uwew_AC187787_1947_LTR,Gypsy
437752,chr10,RepeatMasker,dispersed_repeat,149043152,149043292,31.9,-,.,ID=434657;Target,mywur_AC197359_5559_LTR,Gypsy
437753,chr10,RepeatMasker,dispersed_repeat,149043154,149043275,23.3,-,.,ID=434658;Target,mafogo_AC199961_6695_LTR,Gypsy
437754,chr10,RepeatMasker,dispersed_repeat,149043733,149043943,12.9,-,.,ID=434659;Target,mafogo_AC199961_6695_LTR,Gypsy
437755,chr10,RepeatMasker,dispersed_repeat,149043800,149043991,30.7,-,.,ID=434660;Target,bawigu_AC208532_9902_LTR,Gypsy
437756,chr10,RepeatMasker,dispersed_repeat,149044503,149044651,31.1,-,.,ID=434661;Target,vedi_AC198992_6258,LTR_unknown
437757,chr10,RepeatMasker,dispersed_repeat,149044763,149045032,15.4,-,.,ID=434662;Target,bumy_AC216354_13379,LTR_unknown
437758,chr10,RepeatMasker,dispersed_repeat,149045154,149045239,30.2,-,.,ID=434663;Target,bumy_AC216354_13379,LTR_unknown
437759,chr10,RepeatMasker,dispersed_repeat,149045316,149045446,23.4,-,.,ID=434664;Target,jeli_AC208705_10001,LTR_unknown
437760,chr10,RepeatMasker,dispersed_repeat,149045472,149045579,24.3,-,.,ID=434665;Target,jeli_AC208705_10001,LTR_unknown
437761,chr10,RepeatMasker,dispersed_repeat,149045807,149045869,21,-,.,ID=434666;Target,vedi_AC198992_6258,LTR_unknown
437762,chr10,RepeatMasker,dispersed_repeat,149045818,149045869,15.4,-,.,ID=434667;Target,mako_AC200748_6991,LTR_unknown
437763,chr10,RepeatMasker,dispersed_repeat,149045855,149045940,31.4,-,.,ID=434668;Target,saahol_AC198506_6044,LTR_unknown
437764,chr10,RepeatMasker,dispersed_repeat,149046013,149046108,22.9,-,.,ID=434669;Target,weaniv_AC196414_5097_LTR,Gypsy
437765,chr10,RepeatMasker,dispersed_repeat,149046037,149046187,15.9,-,.,ID=434670;Target,wiru_AC210670_10789_LTR,Gypsy
437766,chr10,RepeatMasker,dispersed_repeat,149046383,149047671,33,-,.,ID=434671;Target,tituer_AC196493_5158_LTR,Gypsy
437767,chr10,RepeatMasker,dispersed_repeat,149048190,149048634,23.1,+,.,ID=434672;Target,totu_AC194464_4142_LTR,Copia
437768,chr10,RepeatMasker,dispersed_repeat,149048631,149050060,33.6,+,.,ID=434673;Target,pute_AC197188_5467_LTR,Copia
437769,chr10,RepeatMasker,dispersed_repeat,149048631,149049863,26.3,+,.,ID=434674;Target,totu_AC194464_4142_LTR,Copia
437770,chr10,RepeatMasker,dispersed_repeat,149049058,149050492,31.9,+,.,ID=434675;Target,victim_AC183319_577_LTR,Copia
437771,chr10,RepeatMasker,dispersed_repeat,149050516,149050708,18,-,.,ID=434676;Target,huck_AC208546_9913_LTR,Gypsy
437772,chr10,RepeatMasker,dispersed_repeat,149051099,149051169,27.1,-,.,ID=434677;Target,huck_AC210079_10574_LTR,Gypsy
437773,chr10,RepeatMasker,dispersed_repeat,149051224,149051291,27.9,-,.,ID=434678;Target,huck_AC208546_9913_LTR,Gypsy
437774,chr10,RepeatMasker,dispersed_repeat,149051434,149051542,26.2,-,.,ID=434679;Target,huck_AC208842_10038_LTR,Gypsy
437775,chr10,RepeatMasker,dispersed_repeat,149051556,149051637,23.9,+,.,ID=434680;Target,(TATT)n,Simple Repeat
437776,chr10,RepeatMasker,dispersed_repeat,149052353,149052659,35.7,+,.,ID=434681;Target,RIL_etiti_AC211734_0_LINE,L1
437777,chr10,RepeatMasker,dispersed_repeat,149052780,149053368,40,+,.,ID=434682;Target,RIX_edaej_AC215611_0,LINE_unknown
437778,chr10,RepeatMasker,dispersed_repeat,149052785,149053257,40.2,+,.,ID=434683;Target,RIL_jikeuf_AC211152_0_LINE,L1
437779,chr10,RepeatMasker,dispersed_repeat,149054165,149054338,5.8,+,.,ID=434684;Target,DTH_ZM00280_consensus_MITE,DTH
437780,chr10,RepeatMasker,dispersed_repeat,149054644,149055938,34.7,+,.,ID=434685;Target,RIL_pyelum_AC203928_0_LINE,L1
437781,chr10,RepeatMasker,dispersed_repeat,149056001,149056098,26.1,-,.,ID=434686;Target,RIL_afeda_AC208414_0_LINE,L1
437782,chr10,RepeatMasker,dispersed_repeat,149056006,149056092,16.4,-,.,ID=434687;Target,RIL_nugimu_AC203843_0_LINE,L1
437783,chr10,RepeatMasker,dispersed_repeat,149056097,149056939,35,+,.,ID=434688;Target,RIL_nugimu_AC203843_0_LINE,L1
437784,chr10,RepeatMasker,dispersed_repeat,149058137,149058338,16.5,-,.,ID=434689;Target,DTA_ZM00096_consensus_DNA,DTA
437785,chr10,RepeatMasker,dispersed_repeat,149058346,149058688,36.4,+,.,ID=434690;Target,RIL_pyelum_AC203928_0_LINE,L1
437786,chr10,RepeatMasker,dispersed_repeat,149058606,149058703,31.6,+,.,ID=434691;Target,uwub_AC195372_161,LTR_unknown
437787,chr10,RepeatMasker,dispersed_repeat,149058723,149059177,31.4,+,.,ID=434692;Target,RIL_jikeuf_AC211152_0_LINE,L1
437788,chr10,RepeatMasker,dispersed_repeat,149059161,149060525,28.5,+,.,ID=434693;Target,RIL_afeda_AC208414_0_LINE,L1
437789,chr10,RepeatMasker,dispersed_repeat,149060533,149061059,28.2,+,.,ID=434694;Target,RIL_afeda_AC208414_0_LINE,L1
437790,chr10,RepeatMasker,dispersed_repeat,149060901,149061079,30.4,+,.,ID=434695;Target,RIL_ejoet_AC212216_0_LINE,L1
437791,chr10,RepeatMasker,dispersed_repeat,149061061,149061346,21.3,-,.,ID=434696;Target,DTH_ZM00241_consensus_MITE,DTH
437792,chr10,RepeatMasker,dispersed_repeat,149061160,149061346,16.7,+,.,ID=434697;Target,DTH_ZM00054_consensus_MITE,DTH
437793,chr10,RepeatMasker,dispersed_repeat,149061343,149061892,27.9,+,.,ID=434698;Target,RIL_afeda_AC208414_0_LINE,L1
437794,chr10,RepeatMasker,dispersed_repeat,149062021,149062064,23.9,+,.,ID=434699;Target,(TG)n,Simple Repeat
437795,chr10,RepeatMasker,dispersed_repeat,149062138,149062182,20.4,+,.,ID=434700;Target,(ATT)n,Simple Repeat
437796,chr10,RepeatMasker,dispersed_repeat,149062712,149063942,34.6,+,.,ID=434701;Target,RIX_ekeje_AC197537_0,LINE_unknown
437797,chr10,RepeatMasker,dispersed_repeat,149063952,149064150,31.8,+,.,ID=434702;Target,RIL_koajav_AC205853_0_LINE,L1
437798,chr10,RepeatMasker,dispersed_repeat,149063962,149064309,32,+,.,ID=434703;Target,RIL_loneok_AC193379_0_LINE,L1
437799,chr10,RepeatMasker,dispersed_repeat,149064234,149064309,14.8,+,.,ID=434704;Target,RIL_nugimu_AC203843_0_LINE,L1
437800,chr10,RepeatMasker,dispersed_repeat,149064357,149064591,27.5,+,.,ID=434705;Target,weaniv_AC196414_5097_LTR,Gypsy
437801,chr10,RepeatMasker,dispersed_repeat,149064397,149064589,26,+,.,ID=434706;Target,ojam_AC198400_5989_LTR,Gypsy
437802,chr10,RepeatMasker,dispersed_repeat,149064613,149064680,22.1,-,.,ID=434707;Target,RIL_afeda_AC208414_0_LINE,L1
437803,chr10,RepeatMasker,dispersed_repeat,149064724,149064860,8.1,-,.,ID=434708;Target,kameer_AC194009_3819_LTR,Copia
437804,chr10,RepeatMasker,dispersed_repeat,149064864,149065032,23.1,-,.,ID=434709;Target,RIX_leijoh_AC212369_0,LINE_unknown
437805,chr10,RepeatMasker,dispersed_repeat,149065075,149065739,29,+,.,ID=434710;Target,ojam_AC198400_5989_LTR,Gypsy
437806,chr10,RepeatMasker,dispersed_repeat,149065747,149065793,8.5,-,.,ID=434711;Target,anar_AC206985_9422_LTR,Copia
437807,chr10,RepeatMasker,dispersed_repeat,149065794,149065871,0,+,.,ID=434712;Target,(TA)n,Simple Repeat
437808,chr10,RepeatMasker,dispersed_repeat,149065872,149066935,8.5,-,.,ID=434711;Target,anar_AC206985_9422_LTR,Copia
437809,chr10,RepeatMasker,dispersed_repeat,149067021,149067812,31.4,-,.,ID=434713;Target,RIL_nugimu_AC203843_0_LINE,L1
437810,chr10,RepeatMasker,dispersed_repeat,149067823,149067925,26.2,-,.,ID=434714;Target,RIL_loneok_AC193379_0_LINE,L1
437811,chr10,RepeatMasker,dispersed_repeat,149067823,149067881,11.9,-,.,ID=434715;Target,RIL_nugimu_AC203843_0_LINE,L1
437812,chr10,RepeatMasker,dispersed_repeat,149067824,149067901,14.5,-,.,ID=434716;Target,RIL_ejoet_AC212216_0_LINE,L1
